objectid,incident_number,call_type,call_time,race,gender,age,stop_type,stop_outcome,veh_state,count_tickets,count_warnings,search,search_type,contraband,viol_dui,arrest
32121,21BU016282,Traffic,2021/09/29 11:26:00+00,White,Male - M,56.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32131,21BU018103,Traffic,2021/10/26 12:58:00+00,White,Male - M,35.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32142,21BU003346,Traffic,2021/03/18 08:10:00+00,White,Male - M,40.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32194,21BU003872,Traffic,2021/03/27 19:29:00+00,White,Male - M,19.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
32213,21BU002855,Traffic,2021/03/07 15:43:00+00,White,Male - M,78.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32216,21BU011075,Traffic,2021/07/19 09:29:00+00,Black,Male - M,55.0,M = Moving violation,5,OK,0,1,0,NS = No search,0,0,none
32271,21BU001583,Traffic,2021/02/08 07:45:00+00,White,Male - M,74.0,M = Moving violation,5,NH,0,1,0,NS = No search,0,0,none
32281,21BU020016,Traffic,2021/12/01 23:50:00+00,White,Male - M,24.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
32283,21BU005016,Traffic,2021/04/17 08:38:00+00,White,Male - M,26.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32327,21BU003171,Traffic,2021/03/13 23:08:00+00,White,Male - M,53.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32329,21BU017603,Traffic,2021/10/18 12:05:00+00,White,Male - M,27.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
32342,21BU001708,Traffic,2021/02/10 10:37:00+00,White,Male - M,45.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32373,21BU010606,Traffic,2021/07/12 09:57:00+00,White,Male - M,40.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32388,21BU001160,Traffic,2021/01/29 18:34:00+00,Asian,Male - M,53.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32391,21BU001602,Traffic,2021/02/08 12:06:00+00,White,Male - M,62.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32393,21BU002513,Traffic,2021/03/01 07:54:00+00,White,Male - M,34.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32394,21BU002535,Traffic,2021/03/01 12:39:00+00,White,Male - M,55.0,M = Moving violation,4,VT,0,1,0,NS = No search,0,0,none
32395,21BU017938,Traffic,2021/10/23 01:21:00+00,White,Male - M,26.0,M = Moving violation,5,PA,0,1,0,NS = No search,0,0,none
32424,21BU018475,Traffic,2021/11/02 07:21:00+00,White,Male - M,53.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32426,21BU003935,Traffic,2021/03/29 12:36:00+00,White,Male - M,52.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
32441,21BU003876,Traffic,2021/03/27 20:02:00+00,White,Male - M,30.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32463,21BU007360,Traffic,2021/05/25 14:54:00+00,White,Male - M,62.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32467,21BU018963,Traffic,2021/11/10 09:55:00+00,White,Male - M,32.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32487,21BU003832,Traffic,2021/03/27 08:19:00+00,White,Male - M,45.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32590,21BU000542,Traffic,2021/01/14 09:14:00+00,White,Male - M,22.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
32598,21BU001604,Traffic,2021/02/08 12:40:00+00,White,Male - M,30.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32668,21BU002241,Traffic,2021/02/23 10:57:00+00,White,Male - M,27.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32672,21BU001848,Traffic,2021/02/13 20:41:00+00,White,Male - M,53.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
32689,21BU002114,Traffic,2021/02/20 08:08:00+00,White,Male - M,25.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32693,21BU003352,Traffic,2021/03/18 09:16:00+00,White,Male - M,38.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32714,21BU000770,Traffic,2021/01/20 08:57:00+00,White,Male - M,55.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32753,21BU002828,Traffic,2021/03/06 23:41:00+00,Black,Male - M,17.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32789,21BU002532,Traffic,2021/03/01 11:57:00+00,White,Male - M,29.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32792,21BU005317,Traffic,2021/04/23 11:37:00+00,White,Male - M,67.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32793,21BU005875,Traffic,2021/05/03 14:51:00+00,White,Male - M,20.0,M = Moving violation,5,NH,0,1,0,NS = No search,0,0,none
32813,21BU020326,Traffic,2021/12/07 13:58:00+00,White,Male - M,27.0,M = Moving violation,4,VT,1,1,0,NS = No search,0,0,none
32907,21BU006285,Traffic,2021/05/11 00:27:00+00,White,Male - M,24.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
32949,21BU006590,Traffic,2021/05/15 19:18:00+00,White,Male - M,29.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
32982,21BU005949,Traffic,2021/05/05 00:13:00+00,White,Male - M,22.0,V = Vehicle Equipment,4,MA,2,0,0,NS = No search,0,0,none
33074,21BU010981,Traffic,2021/07/17 08:58:00+00,White,Male - M,59.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
33081,21BU003369,Traffic,2021/03/18 12:02:00+00,White,Male - M,37.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
